metro_id,fullaqsid,policy_id,start_date,end_date
943,GBR_GB1098A,28,2021-10-25,2023-08-28
943,GBR_GB1098A,44,2023-08-29,NA
949,SWE_SE0003A,39,2007-08-01,NA
949,SWE_SE0003A,58,2006-01-03,2006-07-31
949,SWE_SE0022A,39,2007-08-01,NA
949,SWE_SE0022A,58,2006-01-03,2006-07-31
949,SWE_SE0027A,39,2007-08-01,NA
949,SWE_SE0027A,58,2006-01-03,2006-07-31
949,SWE_SE0050A,39,2007-08-01,NA
949,SWE_SE0050A,58,2006-01-03,2006-07-31
949,SWE_SE0084A,39,2007-08-01,NA
949,SWE_SE0084A,58,2006-01-03,2006-07-31
949,SWE_SE0087A,39,2007-08-01,NA
949,SWE_SE0087A,58,2006-01-03,2006-07-31
949,SWE_SE0099A,39,2007-08-01,NA
949,SWE_SE0099A,58,2006-01-03,2006-07-31
949,SWE_SE157992,39,2007-08-01,NA
